3,Annual,8/22/2024,
5,Annual,8/20/2024,
6,Annual,8/22/2024,
7,Annual,8/20/2024,
8,Annual,8/20/2024,
9,Annual,4/25/2024,
10,Annual,4/13/2024,
11,Annual,4/15/2024,
12,Annual,8/9/2024,
15,Annual,12/20/2024,
16,Annual,12/20/2024,
17,Annual,10/24/2024,
18,Annual,10/17/2024,
26,Annual,6/12/2024,
28,Annual,6/11/2024,
29,Annual,3/29/2024,
30,Annual,6/26/2024,
31,Annual,11/8/2024,
32,Annual,2/20/2024,
34,Annual,6/10/2024,
35,Annual,6/12/2024,
36,Annual,6/12/2024,
37,Annual,12/13/2024,
38,Annual,11/5/2024,
39,Annual,11/6/2024,
40,Annual,1/11/2024,
41,Annual,11/7/2024,
42,Annual,6/10/2024,
43,Annual,6/10/2024,
44,Annual,5/30/2024,
45,Annual,6/12/2024,
46,Annual,9/10/2024,
47,Annual,1/11/2024,
49,Annual,6/12/2024,
50,Annual,1/11/2024,
51,Annual,1/11/2024,
52,Annual,1/11/2024,
53,Annual,6/10/2024,
54,Annual,6/10/2024,
55,Annual,6/10/2024,
56,Annual,1/11/2024,
57,Annual,1/11/2024,
58,Annual,1/11/2024,
59,Annual,11/6/2024,
60,Annual,2/8/2024,
62,Annual,5/16/2024,
63,Annual,5/16/2024,
64,Annual,5/16/2025,
66,Annual,12/12/2024,
67,Annual,12/12/2024,
70,Annual,7/11/2024,
71,Annual,9/6/2024,
72,Annual,9/6/2024,
73,Annual,9/13/2024,
74,Annual,3/28/2024,
75,Annual,9/11/2024,
76,Annual,8/16/2024,
77,Annual,5/15/2024,
80,Annual,12/2/2024,
84,Annual,12/18/2024,
85,Annual,12/18/2024,
87,Annual,6/10/2024,
88,Annual,7/8/2024,
89,Annual,7/8/2024,
90,Annual,7/8/2024,
91,Annual,7/8/2024,
92,Annual,7/8/2024,
95,Annual,7/8/2024,
111,Annual,12/23/2024,
112,Annual,12/23/2024,
113,Annual,12/23/2024,
114,Annual,12/5/2025,
115,Annual,12/3/2024,
117,Annual,3/1/2024,
118,Annual,3/1/2024,
119,Annual,1/18/2024,
120,Annual,10/24/2024,
121,Annual,12/16/2024,
137,Annual,6/28/2024,
138,Annual,4/2/2024,
139,Annual,4/2/2024,
140,Annual,11/8/2024,
151,Annual,4/26/2024,
152,Annual,4/6/2024,
153,Annual,4/6/2024,
154,Annual,5/10/2024,
155,Annual,5/8/2024,
156,Annual,4/24/2024,
157,Annual,5/10/2024,
158,Annual,4/30/2024,
159,Annual,5/14/2024,
160,Annual,5/14/2024,
161,Annual,5/10/2024,
1,Annual,2/6/2025,
9,Annual,3/13/2025,
10,Annual,2/12/2025,
11,Annual,2/27/2025,
14,Annual,1/15/2025,
26,Annual,2/26/2025,
29,Annual,3/25/2025,
30,Annual,6/5/2025,
32,Annual,2/26/2025,
34,Annual,2/25/2025,
42,Annual,2/25/2025,
43,Annual,2/26/2025,
44,Annual,6/24/2025,
45,Annual,2/25/2025,
47,Annual,1/16/2025,
48,Annual,2/24/2025,
49,Annual,2/26/2025,
50,Annual,1/16/2025,
51,Annual,1/16/2025,
52,Annual,1/16/2025,
53,Annual,2/25/2025,
54,Annual,2/25/2025,
55,Annual,2/25/2025,
56,Annual,1/16/2025,
57,Annual,1/16/2025,
58,Annual,1/16/2025,
60,Annual,1/30/2025,
62,Annual,5/9/2025,
63,Annual,5/9/2025,
64,Annual,5/9/2025,
65,Annual,6/6/2025,
70,Annual,3/7/2025,
74,Annual,3/11/2025,
77,Annual,5/8/2025,
86,Annual,2/12/2025,
87,Annual,2/26/2025,
88,Annual,6/24/2025,
89,Annual,6/24/2025,
90,Annual,6/24/2025,
91,Annual,6/24/2025,
92,Annual,6/25/2025,
95,Annual,6/24/2025,
117,Annual,3/7/2025,
118,Annual,3/7/2025,
119,Annual,1/16/2025,
138,Annual,1/16/2025,
139,Annual,1/16/2025,
141,Annual,3/16/2025,
142,Annual,3/21/2025,
143,Annual,1/24/2025,
144,Annual,2/12/2025,
145,Annual,2/13/2025,
146,Annual,2/14/2025,
147,Annual,3/28/2025,
148,Annual,3/28/2025,
149,Annual,3/28/2025,
151,Annual,4/1/2025,
152,Annual,4/8/2025,
153,Annual,5/1/2025,
154,Annual,4/22/2025,
155,Annual,4/15/2025,
156,Annual,4/24/2025,
157,Annual,5/8/2025,
158,Annual,4/10/2025,
160,Annual,5/12/2025,
161,Annual,4/25/2025,
5,Submission,9/9/2024,3701546-3336056
6,Submission,12/30/2024,3837660-3423337
7,Submission,9/9/2024,3701546-3336056
8,Submission,9/9/2024,3701546-3336056
9,Submission,6/14/2024,3618007-3284496
10,Submission,6/14/2024,3618007-3284496
11,Submission,6/14/2024,3618007-3284496
12,Submission,8/21/2024,3680767-3323244
15,Submission,12/30/2024,3837699-3423358
16,Submission,12/30/2024,3837699-3423358
17,Submission,11/1/2024,3770602-3379936
18,Submission,11/1/2024,3770602-3379936
26,Submission,8/21/2024,3680767-3323244
28,Submission,8/21/2024,3680767-3323244
29,Submission,6/14/2024,3618007-3284496
30,Submission,12/20/2024,3830761-3418736
31,Submission,12/16/2024,3825470-3414936
32,Submission,2/29/2024,3512111-3219058
34,Submission,8/21/2024,3680767-3323244
35,Submission,8/21/2024,3680767-3323244
36,Submission,8/21/2024,3680767-3323244
37,Submission,12/20/2024,3830761-3418736
38,Submission,12/16/2024,3825470-3414936
39,Submission,12/16/2024,3825470-3414936
40,Submission,2/7/2024,3492467-3206447
41,Submission,12/16/2024,3825470-3414936
42,Submission,8/21/2024,3680767-3323244
43,Submission,8/21/2024,3680767-3323244
45,Submission,8/21/2024,3680767-3323244
46,Submission,9/17/2024,3710807-3341726
47,Submission,2/7/2024,3492467-3206447
49,Submission,8/21/2024,3680767-3323244
50,Submission,2/7/2024,3492467-3206447
51,Submission,2/29/2024,3512111-3219058
52,Submission,2/7/2024,3492467-3206447
53,Submission,8/21/2024,3680767-3323244
54,Submission,8/21/2024,3680767-3323244
55,Submission,8/21/2024,3680767-3323244
56,Submission,2/7/2024,3492467-3206447
58,Submission,2/7/2024,3492467-3206447
59,Submission,12/16/2024,3825470-3414936
60,Submission,2/14/2024,3498372-3210175
62,Submission,6/14/2024,3617996-3284485
63,Submission,9/9/2024,3701557-3336063
64,Submission,8/23/2024,3682343-3324337
65,Submission,7/18/2024,3648221-3302981
66,Submission,12/20/2024,3830785-3418755
67,Submission,12/20/2024,3830785-3418755
70,Submission,8/23/2024,3682334-3324332
71,Submission,9/20/2024,
72,Submission,9/20/2024,
73,Submission,9/20/2024,
74,Submission,6/14/2024,3617696-3284238
75,Submission,11/1/2024,3770632-3379960
76,Submission,12/30/2024,3837834-3423429
77,Submission,6/14/2024,3617996-3284485
80,Submission,12/9/2024,3817335-3410124
84,Submission,12/20/2024,3830773-3418741
87,Submission,8/21/2024,3680767-3323244
88,Submission,12/30/2024,3837825-3423420
89,Submission,8/21/2024,3680816-3323260
90,Submission,8/21/2024,3680816-3323260
91,Submission,8/23/2024,3682326-3324329
92,Submission,8/21/2024,3680816-3323260
95,Submission,8/21/2024,3680816-3323260
111,Submission,12/30/2024,3837719-3423408
112,Submission,12/30/2024,3837719-3423408
113,Submission,12/30/2024,3837719-3423408
114,Submission,12/30/2024,3837719-3423408
115,Submission,12/16/2024,3825504-3414947
117,Submission,3/12/2024,3525142-3227903
118,Submission,3/12/2024,3525142-3227903
119,Submission,1/25/2024,3477687-3196494
120,Submission,11/1/2024,3770654-3379977
121,Submission,12/20/2024,3830768-3418739
137,Submission,12/20/2024,3830761-3418736
138,Submission,6/14/2024,3618007-3284496
139,Submission,6/14/2024,3618007-3284496
140,Submission,12/16/2024,3825492-3414943
151,Submission,6/14/2024,3618007-3284496
152,Submission,6/14/2024,3618007-3284496
153,Submission,6/14/2024,3618007-3284496
154,Submission,6/14/2024,3618007-3284496
155,Submission,6/14/2024,3618007-3284496
156,Submission,6/14/2024,3618007-3284496
157,Submission,6/14/2024,3618007-3284496
158,Submission,6/14/2024,3618007-3284496
159,Submission,6/14/2024,3618007-3284496
160,Submission,6/14/2024,3618007-3284496
161,Submission,6/14/2024,3618007-3284496
1,Submission,2/6/2025,3879382-3446814
9,Submission,3/13/2025,3931095-3478058
10,Submission,2/12/2025,3894310-3455872
11,Submission,2/27/2025,3931095-3478058
14,Submission,1/15/2025,
26,Submission,2/26/2025,3931095-3478058
29,Submission,3/25/2025,3931095-3478058
30,Submission,6/5/2025,
32,Submission,2/26/2025,3931095-3478058
34,Submission,2/25/2025,3931095-3478058
42,Submission,2/25/2025,3931095-3478058
43,Submission,2/26/2025,3931095-3478058
44,Submission,6/24/2025,
45,Submission,2/25/2025,3931095-3478058
47,Submission,1/16/2025,3894310-3455872
48,Submission,2/24/2025,3977216-3504940
49,Submission,2/26/2025,3931095-3478058
50,Submission,1/16/2025,3894310-3455872
51,Submission,1/16/2025,3894310-3455872
52,Submission,1/16/2025,3894310-3455872
53,Submission,2/25/2025,3931095-3478058
54,Submission,2/25/2025,3931095-3478058
55,Submission,2/25/2025,3931095-3478058
56,Submission,1/16/2025,3894310-3455872
57,Submission,1/16/2025,3894310-3455872
58,Submission,1/16/2025,3894310-3455872
60,Submission,1/30/2025,3894310-3455872
62,Submission,5/9/2025,3985241-3509495
63,Submission,5/9/2025,3985241-3509495
64,Submission,5/9/2025,3985241-3509495
65,Submission,6/6/2025,
70,Submission,3/7/2025,3931136-3478068
74,Submission,3/11/2025,3931142-3478076
77,Submission,5/8/2025,3985241-3509495
86,Submission,2/12/2025,3884969-3450264
87,Submission,2/26/2025,3931095-3478058
88,Submission,6/24/2025,
89,Submission,6/24/2025,
90,Submission,6/24/2025,
91,Submission,6/24/2025,
92,Submission,6/25/2025,
95,Submission,6/24/2025,
117,Submission,3/7/2025,3931136-3478068
118,Submission,3/7/2025,3931136-3478068
119,Submission,1/16/2025,3894310-3455872
138,Submission,1/16/2025,3894310-3455872
139,Submission,1/16/2025,3894310-3455872
141,Submission,3/16/2025,3932485-3478871
142,Submission,3/21/2025,3940456-3483703
143,Submission,1/24/2025,3894340-3455876
144,Submission,2/12/2025,3894310-3455872
145,Submission,2/13/2025,3894310-3455872
146,Submission,2/14/2025,3894310-3455872
147,Submission,3/28/2025,3977161-3504923
148,Submission,3/28/2025,3977161-3504923
149,Submission,3/28/2025,3977161-3504923
151,Submission,4/1/2025,3977161-3504923
152,Submission,4/8/2025,3977161-3504923
153,Submission,5/1/2025,3977161-3504923
154,Submission,4/22/2025,3977161-3504923
155,Submission,4/15/2025,3977161-3504923
156,Submission,4/24/2025,3977161-3504923
157,Submission,5/8/2025,3985211-3509485
158,Submission,4/10/2025,3977161-3504923
160,Submission,5/12/2025,3985211-3509485
161,Submission,4/25/2025,3977161-3504923
